Timestamps,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6
0.0,2.9823565971767013e-05,2.875987686104501e-05,2.9823565971767013e-05,2.875987686104501e-05,2.9823565971767013e-05,2.875987686104501e-05
0.09225092250922509,8.422483814978113e-05,8.122086996981713e-05,8.422483814978113e-05,8.122086996981713e-05,8.422483814978113e-05,8.122086996981713e-05
0.18450184501845018,9.647681397904266e-05,9.303586608690233e-05,9.647681397904266e-05,9.303586608690233e-05,9.647681397904266e-05,9.303586608690233e-05
0.2767527675276753,0.00012277574691128325,0.00011839681968393817,0.00012277574691128325,0.00011839681968393817,0.00012277574691128325,0.00011839681968393817
0.36900369003690037,3.1058420875535405e-05,2.9712518293652557e-05,3.083950337590246e-05,2.9517195500658816e-05,3.083950337590246e-05,2.9517195500658816e-05
0.46125461254612543,2.5993503903647246e-05,2.3995482501610362e-05,2.500461761879141e-05,2.3123414561508123e-05,2.500461761879141e-05,2.3123414561508123e-05
0.5535055350553506,5.632888103617094e-05,5.141443137178432e-05,5.363327662198155e-05,4.906516421773315e-05,5.363327662198155e-05,4.906516421773315e-05
0.6457564575645757,7.307420340007952e-05,6.430629316154988e-05,6.732941564278253e-05,5.935885495691771e-05,6.732941564278253e-05,5.935885495691771e-05
0.7380073800738007,0.00016679632469339243,0.00014959579415376234,0.0001562529103709585,0.00014062377027379818,0.0001562529103709585,0.00014062377027379818
0.8302583025830258,0.00023039603024944076,0.0002036109755032636,0.0002129066914651263,0.00018890578824779764,0.0002129066914651263,0.00018890578824779764
0.9225092250922509,0.0002095470085519448,0.00017359592062435986,0.00018258137205644128,0.00015119365553752583,0.00018258137205644128,0.00015119365553752583
1.014760147601476,0.00022124806297076766,0.0001720375206442473,0.0001819104488175199,0.0001397467334277399,0.0001819104488175199,0.0001397467334277399
1.1070110701107012,0.0003134682539599117,0.0002448842234460681,0.0002585169344091387,0.00020031334274103453,0.0002585169344091387,0.00020031334274103453
