exp_id,seed,p,n_regimes,total_samples,n_true_cps,n_detected_cps,det_f1,det_precision,det_recall,det_tp,det_fp,det_fn,n_structures,mean_shd,mean_norm_shd,mean_struct_f1,mean_struct_precision,mean_struct_recall,consensus_shd,consensus_norm_shd,consensus_f1,consensus_precision,consensus_recall,status,error_msg
37,1777492120,6,5,3573,4,3,0.5714,0.6667,0.5,2,1,2,4,8.75,0.292,0.178,0.192,0.167,11,0.367,0.421,0.333,0.571,ok,
38,1777492121,6,5,3554,4,3,0.8571,1.0,0.75,3,0,1,4,7.25,0.242,0.471,0.475,0.476,13,0.433,0.435,0.357,0.556,ok,
39,1777492122,6,5,3233,4,3,0.2857,0.3333,0.25,1,2,3,4,6.5,0.217,0.522,0.469,0.607,12,0.4,0.455,0.357,0.625,ok,
40,1777492123,7,5,3387,4,3,0.8571,1.0,0.75,3,0,1,4,10.0,0.238,0.403,0.458,0.374,15,0.357,0.286,0.333,0.25,ok,
41,1777492124,7,5,3595,4,4,0.5,0.5,0.5,2,2,2,5,10.4,0.248,0.346,0.417,0.3,17,0.405,0.32,0.333,0.308,ok,
42,1777492125,7,5,3362,4,4,1.0,1.0,1.0,4,0,0,5,8.0,0.191,0.409,0.387,0.439,12,0.286,0.5,0.4,0.667,ok,
43,1777492126,7,5,3372,4,2,0.3333,0.5,0.25,1,1,3,3,11.0,0.262,0.323,0.315,0.362,13,0.31,0.435,0.5,0.385,ok,
44,1777492127,7,5,3498,4,2,0.6667,1.0,0.5,2,0,2,3,8.667,0.206,0.418,0.375,0.484,17,0.405,0.19,0.133,0.333,ok,
45,1777492128,7,5,3347,4,3,0.8571,1.0,0.75,3,0,1,4,10.5,0.25,0.422,0.382,0.495,19,0.452,0.387,0.286,0.6,ok,
46,1777492129,7,5,3360,4,4,0.75,0.75,0.75,3,1,1,5,8.6,0.205,0.35,0.345,0.357,20,0.476,0.091,0.077,0.111,ok,
47,1777492130,7,5,3646,4,2,0.6667,1.0,0.5,2,0,2,3,7.667,0.182,0.537,0.5,0.601,11,0.262,0.476,0.556,0.417,ok,
48,1777492131,7,5,3669,4,3,0.5714,0.6667,0.5,2,1,2,4,8.75,0.208,0.485,0.472,0.505,16,0.381,0.273,0.25,0.3,ok,
49,1777492132,7,5,3629,4,5,0.6667,0.6,0.75,3,2,1,6,9.5,0.226,0.329,0.314,0.351,18,0.429,0.308,0.267,0.364,ok,
