exp_id,seed,p,n_regimes,total_samples,n_true_cps,n_detected_cps,det_f1,det_precision,det_recall,det_tp,det_fp,det_fn,n_structures,mean_shd,mean_norm_shd,mean_struct_f1,mean_struct_precision,mean_struct_recall,consensus_shd,consensus_norm_shd,consensus_f1,consensus_precision,consensus_recall,status,error_msg
37,1777505638,6,5,3439,4,2,0.6667,1.0,0.5,2,0,2,3,7.0,0.233,0.403,0.443,0.456,10,0.333,0.444,0.364,0.571,ok,
38,1777505639,6,5,3610,4,1,0.4,1.0,0.25,1,0,3,2,5.5,0.183,0.521,0.464,0.666,21,0.7,0.462,0.3,1.0,ok,
39,1777505640,6,5,3628,4,2,0.0,0.0,0.0,0,2,4,3,10.0,0.333,0.133,0.095,0.222,13,0.433,0.235,0.222,0.25,ok,
40,1777505641,7,5,3594,4,4,1.0,1.0,1.0,4,0,0,5,15.2,0.362,0.06,0.058,0.062,19,0.452,0.24,0.231,0.25,ok,
41,1777505642,7,5,3616,4,4,1.0,1.0,1.0,4,0,0,5,10.4,0.248,0.273,0.279,0.276,19,0.452,0.345,0.25,0.556,ok,
42,1777505643,7,5,3616,4,3,0.5714,0.6667,0.5,2,1,2,4,9.0,0.214,0.45,0.517,0.472,17,0.405,0.485,0.333,0.889,ok,
43,1777505644,7,5,3448,4,1,0.4,1.0,0.25,1,0,3,2,15.0,0.358,0.166,0.166,0.166,31,0.738,0.415,0.262,1.0,ok,
44,1777505645,7,5,3561,4,1,0.4,1.0,0.25,1,0,3,2,6.5,0.155,0.572,0.442,0.812,32,0.762,0.385,0.238,1.0,ok,
45,1777505646,7,5,3250,4,2,0.3333,0.5,0.25,1,1,3,3,9.667,0.23,0.391,0.403,0.4,13,0.31,0.48,0.4,0.6,ok,
46,1777505647,7,5,3465,4,2,0.3333,0.5,0.25,1,1,3,3,12.333,0.294,0.365,0.424,0.337,24,0.571,0.25,0.2,0.333,ok,
47,1777505648,7,5,3479,4,4,1.0,1.0,1.0,4,0,0,5,7.8,0.186,0.435,0.428,0.449,14,0.333,0.364,0.308,0.444,ok,
48,1777505649,7,5,3469,4,2,0.3333,0.5,0.25,1,1,3,3,12.667,0.302,0.397,0.475,0.346,25,0.595,0.194,0.176,0.214,ok,
49,1777505650,7,5,3483,4,2,0.3333,0.5,0.25,1,1,3,3,12.667,0.302,0.34,0.321,0.372,19,0.452,0.457,0.333,0.727,ok,
