exp_id,seed,p,n_regimes,total_samples,n_true_cps,n_detected_cps,det_f1,det_precision,det_recall,det_tp,det_fp,det_fn,n_structures,mean_shd,mean_norm_shd,mean_struct_f1,mean_struct_precision,mean_struct_recall,consensus_shd,consensus_norm_shd,consensus_f1,consensus_precision,consensus_recall,causalmorph_mean_shd,causalmorph_mean_norm_shd,causalmorph_mean_f1,causalmorph_mean_precision,causalmorph_mean_recall,causalmorph_cons_norm_shd,causalmorph_cons_f1,directlingam_mean_shd,directlingam_mean_norm_shd,directlingam_mean_f1,directlingam_mean_precision,directlingam_mean_recall,directlingam_cons_norm_shd,directlingam_cons_f1,icalingam_mean_shd,icalingam_mean_norm_shd,icalingam_mean_f1,icalingam_mean_precision,icalingam_mean_recall,icalingam_cons_norm_shd,icalingam_cons_f1,status,error_msg
16,1777522713,4,5,3560,4,2,0.6667,1.0,0.5,2,0,2,3,2.333,0.195,0.333,0.333,0.333,4,0.333,0.333,0.25,0.5,2.333,0.195,0.333,0.333,0.333,0.333,0.333,4.333,0.361,0.111,0.083,0.167,0.417,0.286,5.0,0.417,0.0,0.0,0.0,0.417,0.286,ok,
17,1777522714,4,5,3489,4,3,0.8571,1.0,0.75,3,0,1,4,2.5,0.208,0.551,0.5,0.625,3,0.25,0.667,0.5,1.0,2.5,0.208,0.551,0.5,0.625,0.25,0.667,5.25,0.437,0.0,0.0,0.0,0.667,0.0,5.25,0.437,0.0,0.0,0.0,0.667,0.0,ok,
18,1777522715,4,5,3386,4,2,0.6667,1.0,0.5,2,0,2,3,4.0,0.333,0.397,0.389,0.444,4,0.333,0.6,0.5,0.75,4.667,0.389,0.354,0.3,0.444,0.333,0.667,5.0,0.417,0.286,0.25,0.333,0.5,0.571,7.667,0.639,0.0,0.0,0.0,0.833,0.0,ok,
19,1777522716,4,5,3414,4,4,0.75,0.75,0.75,3,1,1,5,3.6,0.3,0.114,0.1,0.133,7,0.583,0.222,0.143,0.5,3.6,0.3,0.114,0.1,0.133,0.583,0.222,5.2,0.433,0.0,0.0,0.0,0.75,0.0,5.2,0.433,0.0,0.0,0.0,0.75,0.0,ok,
20,1777522717,4,5,3618,4,3,0.5714,0.6667,0.5,2,1,2,4,3.75,0.312,0.25,0.25,0.25,8,0.667,0.0,0.0,0.0,3.25,0.271,0.322,0.333,0.312,0.5,0.25,4.0,0.334,0.111,0.1,0.125,0.583,0.364,5.0,0.417,0.0,0.0,0.0,0.75,0.182,ok,
21,1777522718,4,5,3176,4,1,0.4,1.0,0.25,1,0,3,2,0.5,0.042,0.834,0.75,1.0,11,0.917,0.154,0.083,1.0,0.5,0.042,0.834,0.75,1.0,0.917,0.154,2.5,0.209,0.0,0.0,0.0,0.917,0.154,2.5,0.209,0.0,0.0,0.0,0.917,0.154,ok,
22,1777522719,4,5,3656,4,2,0.6667,1.0,0.5,2,0,2,3,4.0,0.333,0.318,0.25,0.444,5,0.417,0.444,0.333,0.667,4.0,0.333,0.318,0.25,0.444,0.417,0.444,5.0,0.417,0.095,0.083,0.111,0.583,0.222,4.667,0.389,0.095,0.083,0.111,0.5,0.25,ok,
23,1777522720,4,5,3493,4,4,0.5,0.5,0.5,2,2,2,5,3.8,0.316,0.553,0.64,0.51,3,0.25,0.727,0.667,0.8,5.0,0.417,0.411,0.453,0.39,0.25,0.769,10.0,0.833,0.0,0.0,0.0,0.917,0.0,10.0,0.833,0.0,0.0,0.0,0.917,0.0,ok,
24,1777522721,4,5,3528,4,1,0.4,1.0,0.25,1,0,3,2,1.0,0.083,0.4,0.334,0.5,11,0.917,0.154,0.083,1.0,1.0,0.083,0.4,0.334,0.5,0.917,0.154,2.0,0.167,0.25,0.25,0.25,0.917,0.154,2.0,0.167,0.25,0.25,0.25,0.917,0.154,ok,
25,1777522722,4,5,3207,4,1,0.4,1.0,0.25,1,0,3,2,1.0,0.084,0.5,0.5,0.5,11,0.917,0.154,0.083,1.0,1.0,0.084,0.5,0.5,0.5,0.917,0.154,2.0,0.167,0.0,0.0,0.0,0.917,0.154,2.0,0.167,0.0,0.0,0.0,0.917,0.154,ok,
26,1777522723,4,5,3596,4,2,0.6667,1.0,0.5,2,0,2,3,3.333,0.278,0.389,0.389,0.389,5,0.417,0.286,0.25,0.333,3.667,0.305,0.355,0.333,0.389,0.5,0.25,5.0,0.417,0.19,0.133,0.333,0.583,0.364,5.0,0.417,0.19,0.133,0.333,0.583,0.364,ok,
27,1777522724,4,5,3642,4,2,0.3333,0.5,0.25,1,1,3,3,2.333,0.195,0.595,0.583,0.611,5,0.417,0.444,0.333,0.667,2.333,0.195,0.595,0.583,0.611,0.417,0.444,5.667,0.472,0.111,0.083,0.167,0.583,0.222,6.0,0.5,0.0,0.0,0.0,0.667,0.2,ok,
28,1777522725,4,5,3308,4,1,0.4,1.0,0.25,1,0,3,2,2.0,0.167,0.584,0.584,0.584,8,0.667,0.5,0.333,1.0,2.0,0.167,0.584,0.584,0.584,0.667,0.5,2.5,0.208,0.428,0.375,0.5,0.667,0.5,6.0,0.5,0.0,0.0,0.0,0.667,0.5,ok,
29,1777522726,4,5,3341,4,2,0.6667,1.0,0.5,2,0,2,3,1.0,0.083,0.722,0.667,0.833,3,0.25,0.4,0.333,0.5,1.0,0.083,0.722,0.667,0.833,0.25,0.4,2.667,0.222,0.167,0.111,0.333,0.417,0.286,2.667,0.222,0.167,0.111,0.333,0.417,0.286,ok,
30,1777522727,4,5,3324,4,1,0.4,1.0,0.25,1,0,3,2,2.0,0.166,0.714,0.575,1.0,9,0.75,0.4,0.25,1.0,3.0,0.25,0.571,0.45,0.834,0.75,0.4,5.0,0.416,0.166,0.125,0.25,0.75,0.4,5.0,0.416,0.166,0.125,0.25,0.75,0.4,ok,
31,1777522728,4,5,3446,4,1,0.4,1.0,0.25,1,0,3,2,3.0,0.25,0.5,0.416,0.75,8,0.667,0.5,0.333,1.0,3.0,0.25,0.5,0.416,0.75,0.667,0.5,6.5,0.542,0.0,0.0,0.0,0.667,0.5,7.0,0.584,0.0,0.0,0.0,0.667,0.5,ok,
32,1777522729,4,5,3458,4,1,0.0,0.0,0.0,0,1,4,2,3.5,0.292,0.367,0.292,0.666,9,0.75,0.4,0.25,1.0,3.5,0.292,0.367,0.292,0.666,0.75,0.4,5.5,0.458,0.143,0.084,0.5,0.75,0.4,6.0,0.5,0.0,0.0,0.0,0.75,0.4,ok,
33,1777522730,4,5,3509,4,1,0.4,1.0,0.25,1,0,3,2,1.0,0.084,0.5,0.5,0.5,10,0.833,0.286,0.167,1.0,1.0,0.084,0.5,0.5,0.5,0.833,0.286,2.5,0.209,0.25,0.166,0.5,0.833,0.286,3.5,0.292,0.0,0.0,0.0,0.833,0.286,ok,
34,1777522731,4,5,3753,4,1,0.4,1.0,0.25,1,0,3,2,3.0,0.25,0.166,0.125,0.25,10,0.833,0.286,0.167,1.0,3.0,0.25,0.166,0.125,0.25,0.833,0.286,5.0,0.416,0.0,0.0,0.0,0.833,0.286,5.0,0.416,0.0,0.0,0.0,0.833,0.286,ok,
