exp_id,seed,p,n_regimes,total_samples,n_true_cps,n_detected_cps,det_f1,det_precision,det_recall,det_tp,det_fp,det_fn,n_structures,mean_shd,mean_norm_shd,mean_struct_f1,mean_struct_precision,mean_struct_recall,consensus_shd,consensus_norm_shd,consensus_f1,consensus_precision,consensus_recall,causalmorph_mean_shd,causalmorph_mean_norm_shd,causalmorph_mean_f1,causalmorph_mean_precision,causalmorph_mean_recall,causalmorph_cons_norm_shd,causalmorph_cons_f1,directlingam_mean_shd,directlingam_mean_norm_shd,directlingam_mean_f1,directlingam_mean_precision,directlingam_mean_recall,directlingam_cons_norm_shd,directlingam_cons_f1,icalingam_mean_shd,icalingam_mean_norm_shd,icalingam_mean_f1,icalingam_mean_precision,icalingam_mean_recall,icalingam_cons_norm_shd,icalingam_cons_f1,status,error_msg
72,1777522769,4,5,3557,4,2,0.6667,1.0,0.5,2,0,2,3,1.333,0.111,0.5,0.5,0.5,3,0.25,0.4,0.333,0.5,1.333,0.111,0.5,0.5,0.5,0.25,0.4,3.0,0.25,0.0,0.0,0.0,0.333,0.333,3.0,0.25,0.0,0.0,0.0,0.333,0.333,ok,
73,1777522770,4,5,3777,4,1,0.0,0.0,0.0,0,1,4,2,0.5,0.042,0.5,0.5,0.5,11,0.917,0.154,0.083,1.0,0.5,0.042,0.5,0.5,0.5,0.917,0.154,1.5,0.125,0.334,0.25,0.5,0.917,0.154,3.0,0.25,0.0,0.0,0.0,0.917,0.154,ok,
74,1777522771,4,5,3552,4,4,0.75,0.75,0.75,3,1,1,5,4.0,0.333,0.181,0.167,0.2,8,0.667,0.2,0.125,0.5,4.0,0.333,0.181,0.167,0.2,0.667,0.2,5.6,0.467,0.0,0.0,0.0,0.667,0.0,5.6,0.467,0.0,0.0,0.0,0.667,0.0,ok,
75,1777522772,4,5,3574,4,1,0.4,1.0,0.25,1,0,3,2,3.0,0.25,0.5,0.5,0.5,9,0.75,0.4,0.25,1.0,3.0,0.25,0.5,0.5,0.5,0.75,0.4,4.0,0.334,0.25,0.166,0.5,0.75,0.4,4.5,0.375,0.0,0.0,0.0,0.75,0.4,ok,
76,1777522773,4,5,3594,4,3,0.5714,0.6667,0.5,2,1,2,4,1.5,0.125,0.25,0.25,0.25,4,0.333,0.0,0.0,0.0,1.5,0.125,0.25,0.25,0.25,0.333,0.0,2.25,0.188,0.125,0.083,0.25,0.333,0.0,2.75,0.229,0.0,0.0,0.0,0.333,0.0,ok,
77,1777522774,4,5,3605,4,3,0.8571,1.0,0.75,3,0,1,4,5.75,0.479,0.083,0.062,0.125,8,0.667,0.2,0.143,0.333,5.0,0.417,0.146,0.112,0.208,0.5,0.4,6.75,0.562,0.0,0.0,0.0,0.833,0.0,6.5,0.542,0.062,0.05,0.083,0.75,0.182,ok,
78,1777522775,4,5,3229,4,2,0.3333,0.5,0.25,1,1,3,3,2.333,0.195,0.695,0.806,0.622,3,0.25,0.667,0.75,0.6,2.0,0.167,0.722,0.889,0.622,0.167,0.75,7.333,0.611,0.217,0.2,0.244,0.75,0.308,9.333,0.778,0.0,0.0,0.0,0.833,0.167,ok,
79,1777522776,4,5,3408,4,2,0.3333,0.5,0.25,1,1,3,3,1.333,0.111,0.794,0.889,0.722,2,0.167,0.667,0.667,0.667,1.333,0.111,0.794,0.889,0.722,0.167,0.667,7.333,0.611,0.067,0.056,0.083,0.667,0.2,7.333,0.611,0.067,0.056,0.083,0.667,0.2,ok,
80,1777522777,4,5,3576,4,4,0.25,0.25,0.25,1,3,3,5,2.0,0.167,0.614,0.567,0.7,3,0.25,0.667,0.5,1.0,2.6,0.217,0.467,0.4,0.633,0.417,0.444,4.0,0.333,0.067,0.067,0.067,0.417,0.444,4.4,0.367,0.0,0.0,0.0,0.5,0.25,ok,
81,1777522778,4,5,3608,4,2,0.6667,1.0,0.5,2,0,2,3,3.333,0.278,0.473,0.444,0.528,4,0.333,0.5,0.5,0.5,3.333,0.278,0.473,0.444,0.528,0.333,0.5,7.333,0.611,0.0,0.0,0.0,0.583,0.364,7.333,0.611,0.0,0.0,0.0,0.75,0.0,ok,
82,1777522779,4,5,3511,4,2,0.6667,1.0,0.5,2,0,2,3,3.667,0.306,0.0,0.0,0.0,7,0.583,0.0,0.0,0.0,3.333,0.278,0.0,0.0,0.0,0.5,0.0,4.333,0.361,0.0,0.0,0.0,0.583,0.0,4.333,0.361,0.0,0.0,0.0,0.5,0.0,ok,
83,1777522780,4,5,3296,4,3,0.5714,0.6667,0.5,2,1,2,4,1.5,0.125,0.584,0.5,0.75,2,0.167,0.667,0.5,1.0,1.5,0.125,0.584,0.5,0.75,0.167,0.667,3.75,0.312,0.0,0.0,0.0,0.333,0.5,3.25,0.271,0.0,0.0,0.0,0.417,0.0,ok,
84,1777522781,4,5,3670,4,3,0.8571,1.0,0.75,3,0,1,4,3.25,0.271,0.458,0.458,0.458,7,0.583,0.222,0.167,0.333,2.5,0.208,0.542,0.542,0.542,0.333,0.5,3.0,0.25,0.25,0.25,0.25,0.25,0.667,4.5,0.375,0.0,0.0,0.0,0.5,0.0,ok,
85,1777522782,4,5,3683,4,3,0.8571,1.0,0.75,3,0,1,4,2.75,0.229,0.564,0.562,0.583,4,0.333,0.6,0.5,0.75,2.75,0.229,0.564,0.562,0.583,0.333,0.6,6.0,0.5,0.0,0.0,0.0,0.667,0.333,6.0,0.5,0.0,0.0,0.0,0.667,0.333,ok,
86,1777522783,4,5,3497,4,3,0.5714,0.6667,0.5,2,1,2,4,4.25,0.354,0.326,0.333,0.333,4,0.333,0.6,0.5,0.75,4.25,0.354,0.369,0.354,0.417,0.333,0.6,7.25,0.604,0.0,0.0,0.0,0.667,0.2,7.25,0.604,0.0,0.0,0.0,0.667,0.2,ok,
87,1777522784,4,5,3358,4,1,0.4,1.0,0.25,1,0,3,2,2.5,0.208,0.5,0.5,0.5,9,0.75,0.4,0.25,1.0,2.5,0.208,0.5,0.5,0.5,0.75,0.4,3.5,0.292,0.334,0.25,0.5,0.75,0.4,5.0,0.416,0.0,0.0,0.0,0.75,0.4,ok,
88,1777522785,4,5,3377,4,3,0.5714,0.6667,0.5,2,1,2,4,3.25,0.271,0.469,0.479,0.583,3,0.25,0.667,0.6,0.75,3.25,0.271,0.469,0.479,0.583,0.25,0.667,7.5,0.625,0.0,0.0,0.0,0.583,0.462,7.5,0.625,0.0,0.0,0.0,0.75,0.182,ok,
89,1777522786,4,5,3560,4,1,0.4,1.0,0.25,1,0,3,2,3.5,0.292,0.525,0.458,0.625,8,0.667,0.5,0.333,1.0,3.5,0.292,0.525,0.458,0.625,0.667,0.5,6.0,0.5,0.125,0.125,0.125,0.667,0.5,6.0,0.5,0.125,0.125,0.125,0.667,0.5,ok,
90,1777522787,4,5,3407,4,2,0.6667,1.0,0.5,2,0,2,3,1.667,0.139,0.267,0.333,0.222,3,0.25,0.0,0.0,0.0,1.667,0.139,0.267,0.333,0.222,0.25,0.0,3.333,0.278,0.222,0.167,0.333,0.333,0.333,4.0,0.333,0.0,0.0,0.0,0.417,0.0,ok,
91,1777522788,4,5,3435,4,1,0.4,1.0,0.25,1,0,3,2,2.5,0.208,0.643,0.625,0.666,9,0.75,0.4,0.25,1.0,2.5,0.208,0.643,0.625,0.666,0.75,0.4,3.0,0.25,0.5,0.5,0.5,0.75,0.4,5.0,0.416,0.0,0.0,0.0,0.75,0.4,ok,
92,1777522789,4,5,3470,4,2,0.6667,1.0,0.5,2,0,2,3,2.333,0.194,0.445,0.333,0.667,5,0.417,0.286,0.2,0.5,2.0,0.166,0.445,0.333,0.667,0.333,0.333,3.667,0.305,0.0,0.0,0.0,0.417,0.286,4.0,0.333,0.0,0.0,0.0,0.417,0.444,ok,
93,1777522790,4,5,3477,4,3,0.8571,1.0,0.75,3,0,1,4,1.75,0.146,0.575,0.542,0.625,4,0.333,0.333,0.25,0.5,1.75,0.146,0.575,0.542,0.625,0.333,0.333,4.25,0.354,0.0,0.0,0.0,0.5,0.0,4.25,0.354,0.0,0.0,0.0,0.5,0.0,ok,
94,1777522791,4,5,3421,4,2,0.3333,0.5,0.25,1,1,3,3,0.0,0.0,1.0,1.0,1.0,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.167,0.0,0.0,0.0,0.167,0.0,2.0,0.167,0.0,0.0,0.0,0.167,0.0,ok,
95,1777522792,4,5,3443,4,2,0.6667,1.0,0.5,2,0,2,3,3.0,0.25,0.333,0.333,0.333,7,0.583,0.0,0.0,0.0,3.0,0.25,0.333,0.333,0.333,0.583,0.0,4.0,0.333,0.167,0.111,0.333,0.583,0.0,4.667,0.389,0.0,0.0,0.0,0.583,0.0,ok,
96,1777522793,4,5,3534,4,3,0.8571,1.0,0.75,3,0,1,4,2.75,0.229,0.25,0.25,0.25,7,0.583,0.0,0.0,0.0,2.75,0.229,0.25,0.25,0.25,0.583,0.0,3.5,0.292,0.0,0.0,0.0,0.583,0.0,3.5,0.292,0.0,0.0,0.0,0.583,0.0,ok,
97,1777522794,4,5,3689,4,2,0.6667,1.0,0.5,2,0,2,3,1.333,0.111,0.5,0.5,0.5,3,0.25,0.4,0.333,0.5,1.333,0.111,0.5,0.5,0.5,0.25,0.4,2.333,0.195,0.167,0.167,0.167,0.25,0.4,3.0,0.25,0.0,0.0,0.0,0.417,0.0,ok,
98,1777522795,4,5,3540,4,4,0.75,0.75,0.75,3,1,1,5,4.6,0.383,0.3,0.3,0.3,7,0.583,0.222,0.25,0.2,4.6,0.383,0.3,0.3,0.3,0.583,0.222,6.2,0.517,0.0,0.0,0.0,0.833,0.0,6.2,0.517,0.0,0.0,0.0,0.833,0.0,ok,
99,1777522796,4,5,3250,4,3,0.8571,1.0,0.75,3,0,1,4,2.0,0.167,0.25,0.25,0.25,6,0.5,0.0,0.0,0.0,1.25,0.104,0.25,0.25,0.25,0.25,0.0,2.0,0.167,0.125,0.083,0.25,0.333,0.0,2.5,0.209,0.0,0.0,0.0,0.333,0.0,ok,
100,1777522797,5,5,3485,4,4,0.5,0.5,0.5,2,2,2,5,6.4,0.32,0.439,0.486,0.424,6,0.3,0.7,0.583,0.875,5.8,0.29,0.476,0.534,0.453,0.25,0.737,13.0,0.65,0.05,0.04,0.067,0.7,0.3,13.6,0.68,0.0,0.0,0.0,0.85,0.105,ok,
101,1777522798,5,5,3329,4,4,1.0,1.0,1.0,4,0,0,5,2.6,0.13,0.26,0.233,0.3,5,0.25,0.286,0.2,0.5,3.0,0.15,0.133,0.1,0.2,0.25,0.286,4.0,0.2,0.067,0.05,0.1,0.3,0.0,4.2,0.21,0.0,0.0,0.0,0.25,0.0,ok,
102,1777522799,5,5,3536,4,2,0.6667,1.0,0.5,2,0,2,3,5.0,0.25,0.357,0.389,0.333,6,0.3,0.25,0.25,0.25,5.0,0.25,0.357,0.389,0.333,0.3,0.25,7.333,0.367,0.148,0.133,0.167,0.5,0.286,8.0,0.4,0.074,0.067,0.083,0.45,0.182,ok,
103,1777522800,5,5,3620,4,5,0.6667,0.6,0.75,3,2,1,6,3.5,0.175,0.595,0.628,0.61,4,0.2,0.714,0.714,0.714,3.5,0.175,0.606,0.667,0.586,0.2,0.714,9.333,0.467,0.0,0.0,0.0,0.55,0.353,9.333,0.467,0.0,0.0,0.0,0.6,0.25,ok,
104,1777522801,5,5,3441,4,2,0.6667,1.0,0.5,2,0,2,3,3.333,0.167,0.333,0.31,0.367,8,0.4,0.429,0.333,0.6,3.333,0.167,0.333,0.31,0.367,0.4,0.429,4.667,0.233,0.167,0.143,0.2,0.4,0.429,6.0,0.3,0.095,0.074,0.133,0.55,0.267,ok,
105,1777522802,5,5,3514,4,4,0.75,0.75,0.75,3,1,1,5,4.8,0.24,0.473,0.483,0.474,7,0.35,0.588,0.5,0.714,3.2,0.16,0.608,0.677,0.564,0.1,0.875,9.6,0.48,0.0,0.0,0.0,0.75,0.118,9.6,0.48,0.0,0.0,0.0,0.75,0.118,ok,
106,1777522803,5,5,3577,4,1,0.4,1.0,0.25,1,0,3,2,3.5,0.175,0.731,0.714,0.75,14,0.7,0.462,0.3,1.0,3.5,0.175,0.731,0.714,0.75,0.7,0.462,6.0,0.3,0.143,0.125,0.166,0.7,0.462,4.5,0.225,0.266,0.222,0.334,0.7,0.462,ok,
107,1777522804,5,5,3417,4,1,0.0,0.0,0.0,0,1,4,2,4.0,0.2,0.584,0.584,0.584,16,0.8,0.333,0.2,1.0,4.0,0.2,0.584,0.584,0.584,0.8,0.333,11.0,0.55,0.0,0.0,0.0,0.8,0.333,11.5,0.575,0.0,0.0,0.0,0.8,0.333,ok,
108,1777522805,5,5,3573,4,2,0.6667,1.0,0.5,2,0,2,3,4.667,0.233,0.472,0.433,0.611,7,0.35,0.533,0.444,0.667,6.667,0.333,0.375,0.292,0.556,0.5,0.375,9.667,0.483,0.0,0.0,0.0,0.55,0.353,9.333,0.467,0.0,0.0,0.0,0.7,0.0,ok,
109,1777522806,5,5,3594,4,2,0.6667,1.0,0.5,2,0,2,3,3.0,0.15,0.592,0.55,0.667,5,0.25,0.545,0.429,0.75,3.333,0.167,0.481,0.383,0.667,0.3,0.5,6.333,0.317,0.0,0.0,0.0,0.45,0.308,5.667,0.283,0.0,0.0,0.0,0.45,0.0,ok,
110,1777522807,5,5,3608,4,3,0.5714,0.6667,0.5,2,1,2,4,5.25,0.262,0.465,0.461,0.5,9,0.45,0.471,0.364,0.667,4.5,0.225,0.52,0.508,0.562,0.4,0.5,8.0,0.4,0.192,0.178,0.208,0.5,0.5,11.25,0.562,0.0,0.0,0.0,0.75,0.0,ok,
111,1777522808,5,5,3673,4,4,0.75,0.75,0.75,3,1,1,5,3.4,0.17,0.421,0.367,0.517,9,0.45,0.308,0.25,0.4,2.8,0.14,0.537,0.517,0.567,0.15,0.727,5.2,0.26,0.067,0.05,0.1,0.4,0.5,6.2,0.31,0.0,0.0,0.0,0.7,0.125,ok,
112,1777522809,5,5,3416,4,3,0.8571,1.0,0.75,3,0,1,4,4.75,0.238,0.389,0.342,0.479,6,0.3,0.5,0.429,0.6,4.75,0.238,0.389,0.342,0.479,0.3,0.5,7.0,0.35,0.0,0.0,0.0,0.5,0.167,7.0,0.35,0.0,0.0,0.0,0.45,0.182,ok,
113,1777522810,5,5,3183,4,2,0.6667,1.0,0.5,2,0,2,3,2.667,0.133,0.333,0.333,0.333,7,0.35,0.0,0.0,0.0,2.667,0.133,0.333,0.333,0.333,0.35,0.0,4.333,0.217,0.0,0.0,0.0,0.4,0.2,4.333,0.217,0.0,0.0,0.0,0.4,0.2,ok,
114,1777522811,5,5,3528,4,3,0.8571,1.0,0.75,3,0,1,4,4.5,0.225,0.341,0.333,0.35,10,0.5,0.286,0.222,0.4,5.25,0.262,0.25,0.25,0.25,0.65,0.0,5.5,0.275,0.062,0.05,0.083,0.5,0.286,6.25,0.312,0.0,0.0,0.0,0.6,0.143,ok,
115,1777522812,5,5,3418,4,5,0.8889,0.8,1.0,4,1,0,6,3.833,0.192,0.525,0.562,0.514,7,0.35,0.533,0.364,1.0,4.333,0.217,0.476,0.542,0.431,0.55,0.267,7.333,0.367,0.042,0.033,0.056,0.55,0.0,7.5,0.375,0.0,0.0,0.0,0.5,0.0,ok,
116,1777522813,5,5,3546,4,4,0.75,0.75,0.75,3,1,1,5,5.0,0.25,0.394,0.377,0.437,8,0.4,0.429,0.333,0.6,5.2,0.26,0.351,0.347,0.37,0.4,0.429,8.6,0.43,0.0,0.0,0.0,0.65,0.0,8.6,0.43,0.0,0.0,0.0,0.6,0.0,ok,
117,1777522814,5,5,3387,4,1,0.0,0.0,0.0,0,1,4,2,7.5,0.375,0.166,0.125,0.25,16,0.8,0.333,0.2,1.0,7.0,0.35,0.2,0.166,0.25,0.8,0.333,6.5,0.325,0.32,0.236,0.5,0.8,0.333,7.0,0.35,0.091,0.072,0.125,0.8,0.333,ok,
118,1777522815,5,5,3608,4,2,0.6667,1.0,0.5,2,0,2,3,4.667,0.233,0.41,0.417,0.411,5,0.25,0.545,0.5,0.6,5.0,0.25,0.296,0.361,0.261,0.35,0.364,9.667,0.483,0.0,0.0,0.0,0.65,0.133,9.333,0.467,0.0,0.0,0.0,0.65,0.0,ok,
119,1777522816,5,5,3417,4,3,0.2857,0.3333,0.25,1,2,3,4,6.25,0.312,0.33,0.334,0.328,11,0.55,0.353,0.3,0.429,6.75,0.338,0.205,0.167,0.286,0.6,0.25,8.75,0.437,0.0,0.0,0.0,0.6,0.333,8.75,0.437,0.0,0.0,0.0,0.75,0.0,ok,
120,1777522817,5,5,3542,4,4,0.75,0.75,0.75,3,1,1,5,2.8,0.14,0.513,0.5,0.567,6,0.3,0.25,0.143,1.0,2.4,0.12,0.563,0.55,0.617,0.3,0.25,6.8,0.34,0.05,0.05,0.05,0.6,0.143,7.4,0.37,0.0,0.0,0.0,0.6,0.143,ok,
121,1777522818,5,5,3639,4,4,0.75,0.75,0.75,3,1,1,5,3.6,0.18,0.613,0.667,0.58,5,0.25,0.667,0.556,0.833,3.6,0.18,0.584,0.65,0.54,0.25,0.615,7.6,0.38,0.133,0.133,0.133,0.55,0.353,8.4,0.42,0.0,0.0,0.0,0.65,0.133,ok,
122,1777522819,5,5,3481,4,2,0.3333,0.5,0.25,1,1,3,3,5.333,0.267,0.452,0.533,0.401,9,0.45,0.4,0.375,0.429,5.667,0.283,0.443,0.511,0.401,0.45,0.4,10.333,0.517,0.0,0.0,0.0,0.75,0.118,11.0,0.55,0.0,0.0,0.0,0.8,0.0,ok,
123,1777522820,5,5,3530,4,1,0.4,1.0,0.25,1,0,3,2,9.0,0.45,0.154,0.143,0.166,14,0.7,0.462,0.3,1.0,8.5,0.425,0.166,0.166,0.166,0.7,0.462,10.5,0.525,0.0,0.0,0.0,0.7,0.462,10.5,0.525,0.0,0.0,0.0,0.7,0.462,ok,
124,1777522821,5,5,3463,4,2,0.6667,1.0,0.5,2,0,2,3,2.0,0.1,0.667,0.633,0.722,5,0.25,0.444,0.333,0.667,2.0,0.1,0.611,0.611,0.611,0.2,0.5,5.0,0.25,0.222,0.167,0.333,0.4,0.333,6.0,0.3,0.0,0.0,0.0,0.5,0.167,ok,
125,1777522822,5,5,3414,4,3,0.8571,1.0,0.75,3,0,1,4,4.75,0.238,0.539,0.551,0.558,9,0.45,0.526,0.385,0.833,5.75,0.288,0.442,0.425,0.475,0.55,0.353,8.75,0.438,0.0,0.0,0.0,0.65,0.235,9.0,0.45,0.0,0.0,0.0,0.75,0.118,ok,
126,1777522823,5,5,3421,4,4,1.0,1.0,1.0,4,0,0,5,6.6,0.33,0.324,0.35,0.307,8,0.4,0.333,0.333,0.333,7.0,0.35,0.258,0.3,0.227,0.4,0.2,11.2,0.56,0.0,0.0,0.0,0.75,0.0,11.2,0.56,0.0,0.0,0.0,0.75,0.0,ok,
127,1777522824,5,5,3426,4,1,0.4,1.0,0.25,1,0,3,2,0.5,0.025,0.5,0.5,0.5,19,0.95,0.095,0.05,1.0,0.5,0.025,0.5,0.5,0.5,0.95,0.095,1.5,0.075,0.334,0.25,0.5,0.95,0.095,3.0,0.15,0.0,0.0,0.0,0.95,0.095,ok,
128,1777522825,5,5,3635,4,3,0.5714,0.6667,0.5,2,1,2,4,5.25,0.262,0.4,0.406,0.399,10,0.5,0.444,0.364,0.571,5.0,0.25,0.407,0.42,0.399,0.45,0.471,9.25,0.462,0.0,0.0,0.0,0.7,0.222,9.5,0.475,0.0,0.0,0.0,0.75,0.118,ok,
129,1777522826,5,5,3789,4,4,0.75,0.75,0.75,3,1,1,5,6.8,0.34,0.297,0.35,0.264,7,0.35,0.364,0.5,0.286,6.8,0.34,0.297,0.35,0.264,0.35,0.364,11.2,0.56,0.1,0.079,0.14,0.5,0.545,12.4,0.62,0.0,0.0,0.0,0.75,0.118,ok,
130,1777522827,5,5,3674,4,3,0.5714,0.6667,0.5,2,1,2,4,2.75,0.138,0.433,0.5,0.396,5,0.25,0.286,0.333,0.25,2.75,0.138,0.433,0.5,0.396,0.25,0.286,5.75,0.288,0.0,0.0,0.0,0.3,0.5,5.75,0.288,0.0,0.0,0.0,0.35,0.364,ok,
131,1777522828,5,5,3586,4,2,0.6667,1.0,0.5,2,0,2,3,5.667,0.283,0.398,0.365,0.483,7,0.35,0.533,0.4,0.8,5.667,0.283,0.398,0.365,0.483,0.35,0.533,8.333,0.417,0.188,0.151,0.25,0.6,0.25,10.667,0.533,0.0,0.0,0.0,0.6,0.143,ok,
132,1777522829,5,5,3575,4,2,0.6667,1.0,0.5,2,0,2,3,4.667,0.233,0.4,0.333,0.528,8,0.4,0.333,0.25,0.5,4.667,0.233,0.375,0.311,0.528,0.3,0.5,8.667,0.433,0.067,0.042,0.167,0.7,0.222,8.0,0.4,0.0,0.0,0.0,0.6,0.0,ok,
133,1777522830,5,5,3545,4,3,0.8571,1.0,0.75,3,0,1,4,3.75,0.188,0.486,0.475,0.5,6,0.3,0.5,0.375,0.75,3.25,0.162,0.548,0.538,0.562,0.25,0.545,5.5,0.275,0.0,0.0,0.0,0.4,0.0,5.5,0.275,0.0,0.0,0.0,0.4,0.0,ok,
134,1777522831,5,5,3629,4,2,0.3333,0.5,0.25,1,1,3,3,4.333,0.217,0.369,0.333,0.417,9,0.45,0.182,0.143,0.25,4.333,0.217,0.369,0.333,0.417,0.45,0.182,8.0,0.4,0.056,0.037,0.111,0.6,0.25,8.333,0.417,0.0,0.0,0.0,0.65,0.0,ok,
135,1777522832,5,5,3454,4,4,0.5,0.5,0.5,2,2,2,5,4.0,0.2,0.382,0.45,0.357,8,0.4,0.333,0.286,0.4,4.0,0.2,0.382,0.45,0.357,0.4,0.333,4.8,0.24,0.269,0.233,0.32,0.3,0.571,7.0,0.35,0.0,0.0,0.0,0.6,0.0,ok,
136,1777522833,5,5,3295,4,5,0.6667,0.6,0.75,3,2,1,6,4.833,0.242,0.538,0.665,0.482,6,0.3,0.625,0.625,0.625,5.167,0.258,0.512,0.636,0.455,0.25,0.706,10.667,0.533,0.151,0.148,0.156,0.55,0.56,12.5,0.625,0.0,0.0,0.0,0.8,0.111,ok,
137,1777522834,5,5,3587,4,2,0.3333,0.5,0.25,1,1,3,3,2.667,0.133,0.556,0.611,0.528,5,0.25,0.286,0.333,0.25,2.667,0.133,0.556,0.611,0.528,0.25,0.286,8.0,0.4,0.0,0.0,0.0,0.55,0.154,7.667,0.383,0.0,0.0,0.0,0.55,0.0,ok,
138,1777522835,5,5,3726,4,4,0.75,0.75,0.75,3,1,1,5,3.0,0.15,0.504,0.483,0.55,9,0.45,0.308,0.222,0.5,3.2,0.16,0.457,0.45,0.483,0.45,0.308,6.0,0.3,0.0,0.0,0.0,0.5,0.167,6.0,0.3,0.0,0.0,0.0,0.5,0.167,ok,
139,1777522836,5,5,3523,4,4,0.75,0.75,0.75,3,1,1,5,5.8,0.29,0.157,0.183,0.14,8,0.4,0.2,0.25,0.167,5.8,0.29,0.157,0.183,0.14,0.4,0.2,8.4,0.42,0.062,0.05,0.08,0.65,0.316,8.6,0.43,0.0,0.0,0.0,0.7,0.0,ok,
140,1777522837,5,5,3398,4,2,0.6667,1.0,0.5,2,0,2,3,7.0,0.35,0.336,0.344,0.329,6,0.3,0.625,0.556,0.714,7.333,0.367,0.329,0.329,0.329,0.4,0.556,11.0,0.55,0.074,0.067,0.083,0.6,0.25,11.333,0.567,0.0,0.0,0.0,0.7,0.0,ok,
141,1777522838,5,5,3374,4,1,0.4,1.0,0.25,1,0,3,2,4.0,0.2,0.5,0.5,0.5,16,0.8,0.333,0.2,1.0,4.0,0.2,0.5,0.5,0.5,0.8,0.333,6.0,0.3,0.0,0.0,0.0,0.8,0.333,5.0,0.25,0.0,0.0,0.0,0.8,0.333,ok,
142,1777522839,5,5,3582,4,4,0.5,0.5,0.5,2,2,2,5,5.0,0.25,0.133,0.1,0.2,9,0.45,0.308,0.25,0.4,5.0,0.25,0.133,0.1,0.2,0.45,0.308,7.2,0.36,0.057,0.033,0.2,0.55,0.267,7.6,0.38,0.0,0.0,0.0,0.55,0.154,ok,
143,1777522840,5,5,3479,4,1,0.4,1.0,0.25,1,0,3,2,4.0,0.2,0.0,0.0,0.0,16,0.8,0.333,0.2,1.0,4.0,0.2,0.0,0.0,0.0,0.8,0.333,6.0,0.3,0.143,0.084,0.5,0.8,0.333,7.0,0.35,0.0,0.0,0.0,0.8,0.333,ok,
144,1777522841,5,5,3723,4,3,0.5714,0.6667,0.5,2,1,2,4,3.5,0.175,0.417,0.5,0.375,9,0.45,0.0,0.0,0.0,3.5,0.175,0.417,0.5,0.375,0.45,0.0,5.75,0.288,0.0,0.0,0.0,0.45,0.0,5.75,0.288,0.0,0.0,0.0,0.4,0.2,ok,
145,1777522842,5,5,3559,4,4,1.0,1.0,1.0,4,0,0,5,4.0,0.2,0.297,0.283,0.317,12,0.6,0.143,0.1,0.25,3.8,0.19,0.25,0.25,0.25,0.4,0.333,5.4,0.27,0.0,0.0,0.0,0.55,0.154,5.4,0.27,0.0,0.0,0.0,0.55,0.154,ok,
146,1777522843,5,5,3565,4,3,0.8571,1.0,0.75,3,0,1,4,6.0,0.3,0.453,0.5,0.467,7,0.35,0.588,0.556,0.625,5.75,0.288,0.487,0.525,0.503,0.35,0.588,12.25,0.612,0.0,0.0,0.0,0.85,0.0,12.25,0.612,0.0,0.0,0.0,0.85,0.0,ok,
147,1777522844,5,5,3461,4,2,0.6667,1.0,0.5,2,0,2,3,3.0,0.15,0.657,0.633,0.689,4,0.2,0.714,0.625,0.833,3.0,0.15,0.657,0.633,0.689,0.2,0.714,8.0,0.4,0.0,0.0,0.0,0.65,0.133,8.0,0.4,0.0,0.0,0.0,0.65,0.133,ok,
148,1777522845,5,5,3591,4,4,0.5,0.5,0.5,2,2,2,5,4.8,0.24,0.371,0.32,0.45,12,0.6,0.25,0.167,0.5,5.2,0.26,0.331,0.287,0.4,0.7,0.125,7.8,0.39,0.0,0.0,0.0,0.65,0.133,7.6,0.38,0.0,0.0,0.0,0.65,0.0,ok,
149,1777522846,5,5,3814,4,3,0.5714,0.6667,0.5,2,1,2,4,3.0,0.15,0.583,0.583,0.583,7,0.35,0.533,0.444,0.667,3.5,0.175,0.542,0.542,0.542,0.45,0.4,7.25,0.363,0.098,0.073,0.167,0.75,0.211,7.25,0.363,0.062,0.042,0.125,0.7,0.222,ok,
150,1777522847,5,5,3519,4,4,1.0,1.0,1.0,4,0,0,5,5.2,0.26,0.217,0.183,0.267,7,0.35,0.364,0.286,0.5,5.2,0.26,0.217,0.183,0.267,0.35,0.364,6.4,0.32,0.0,0.0,0.0,0.4,0.0,6.4,0.32,0.0,0.0,0.0,0.4,0.0,ok,
151,1777522848,5,5,3379,4,2,0.6667,1.0,0.5,2,0,2,3,4.667,0.233,0.41,0.417,0.411,5,0.25,0.615,0.5,0.8,4.667,0.233,0.41,0.417,0.411,0.25,0.615,8.333,0.417,0.0,0.0,0.0,0.45,0.182,8.333,0.417,0.0,0.0,0.0,0.45,0.182,ok,
152,1777522849,5,5,3358,4,1,0.4,1.0,0.25,1,0,3,2,2.0,0.1,0.667,0.667,0.667,17,0.85,0.261,0.15,1.0,2.0,0.1,0.667,0.667,0.667,0.85,0.261,5.0,0.25,0.166,0.166,0.166,0.85,0.261,5.0,0.25,0.166,0.166,0.166,0.85,0.261,ok,
153,1777522850,5,5,3422,4,3,0.2857,0.3333,0.25,1,2,3,4,2.5,0.125,0.542,0.542,0.542,6,0.3,0.25,0.2,0.333,2.5,0.125,0.542,0.542,0.542,0.3,0.25,6.0,0.3,0.0,0.0,0.0,0.35,0.364,6.0,0.3,0.0,0.0,0.0,0.35,0.364,ok,
